datetime,elapsed time,phase,condition,lat,lon
2023-09-01 19:13:11.357036,1.1537461280822754,1,Release Detect Sequence: Start,0,0
2023-09-01 19:13:21.374775,11.171490669250488,1,Release Detect Sequence: Start,0,0
2023-09-01 19:13:21.377008,11.173718452453613,2,Land Detect Sequence: Start,0,0
2023-09-01 19:13:26.408141,16.204856395721436,2,Land Detect Sequence: End,0,0
2023-09-01 19:13:26.410757,16.20747184753418,3,Melt Sequence: Start,0,0
2023-09-01 19:13:32.417182,22.213899612426758,3,Melt Sequence: End,0,0
2023-09-01 19:13:36.424512,26.221226930618286,5,GPS Running Sequence to Human: Start,35.92408,139.911375
2023-09-01 19:14:15.584911,65.3816249370575,5,GPS Running Sequence to Human: End,35.924356,139.911347
2023-09-01 19:14:15.587168,65.38388442993164,6,Human Detection Sequence: Start,35.924356,139.911347
2023-09-01 19:14:24.403352,74.20006155967712,6,Human Detection Sequence: End,35.924365,139.911345
2023-09-01 19:14:34.436566,84.2332820892334,7,GPS Running Sequence to Goal: Start,35.924367,139.911349
2023-09-01 19:15:07.111209,116.90792322158813,7,GPS Running Sequence to Goal: End,35.924111,139.911382
2023-09-01 19:15:08.115504,117.91221928596497,8,Image Guide Sequence,35.92411,139.911383
2023-09-01 19:16:20.828795,190.6255054473877,8,Image Guide Sequence: End,35.924078,139.911378
2023-09-01 19:16:30.861582,200.6582968235016,10,All Phase Comleted,35.924079,139.911378
