datetime(PDT),elapsed time,phase,condition,lat,lon
2023-09-05 01:50:24.644440,1.1477746963500977,1,Release Detect Sequence: Start,0,0
2023-09-05 01:50:34.656534,11.15985631942749,1,Release Detect Sequence: Start,0,0
2023-09-05 01:50:34.657924,11.161246061325073,2,Land Detect Sequence: Start,0,0
2023-09-05 01:50:59.699092,36.20242500305176,2,Land Detect Sequence: End,0,0
2023-09-05 01:50:59.701129,36.20446157455444,3,Melt Sequence: Start,0,0
2023-09-05 01:51:05.708876,42.212215185165405,3,Melt Sequence: End,0,0
2023-09-05 01:51:05.712202,42.215534687042236,3,GPS Received,35.924219,139.912029
2023-09-05 01:51:07.719112,44.22244453430176,4,Parachute Avoid Sequence: Start,35.924222,139.912041
2023-09-05 01:51:56.292398,92.79573130607605,4,Parachute Avoid Sequence: End,35.924035,139.911958
2023-09-05 01:51:57.296836,93.80017018318176,5,GPS Running Sequence to Human: Start,35.924035,139.911958
2023-09-05 01:52:59.117028,155.6203968524933,5,GPS Running Sequence to Human: End,35.924317,139.912425
2023-09-05 01:53:00.121060,156.6243953704834,6,Human Detection Sequence: Start,35.924316,139.912426
2023-09-05 01:53:07.822768,164.32610273361206,6,Human Detection Sequence: Area0,35.924315,139.912426
2023-09-05 01:53:37.281992,193.7853274345398,6,Human Detection Sequence: Area1,35.924415,139.912436
2023-09-05 01:54:14.183515,230.68684816360474,6,Human Detection Sequence: Area2,35.924304,139.912334
2023-09-05 01:54:22.846537,239.34986519813538,6,Human Detection Sequence: End,35.924304,139.912331
2023-09-05 01:54:23.849798,240.35312843322754,7,GPS Running Sequence to Goal: Start,35.924302,139.912326
